108,CCOP(=S)(S)OCC,1.62
109,O=c1c(O)c(O)c(=O)c1=O,0.89
110,O=C1CCC=C1O,9.14
111,CC1=C(O)C(=O)OC1,7.77
112,Cn1cnc2nn[nH]c2c1=N,3.25
113,CC(=O)CC(C)=O,9.02
114,O=C(O)CCCC(=O)O,4.3
115,O=C(O)C(O)C(O)C(O)C(=O)O,3.08
116,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,7.44
117,S=c1ncnc2[nH][nH]cc1-2,-0.66
118,O=c1ccc(O)c[nH]1,8.51
119,O=C(O)c1ccc[nH]1,4.39
120,O=C(O)c1cc[nH]c1,5
121,Nc1[nH]c(=O)cnc1C=O,6.61
122,O=c1cc(O)cc(O)[nH]1,4.6
123,Cn1cc([N+](=O)[O-])c(=O)[nH]c1=O,7.2
124,Cn1nnc2[nH]c(=O)nc(N)c21,2.94
125,Cn1nnc2[nH]c(N)nc(=O)c21,1.58
126,Cn1nc2[nH]c(=O)nc(N)c2n1,3.94
127,Cn1nc2nc(N)[nH]c(=O)c2n1,1.86
128,Cc1c[nH]c(=O)[nH]c1=O,8.89
129,Cn1ccc(=S)[nH]c1=S,7.47
130,Cc1o[nH]c(=O)c1C,6.1
131,CC(C)(C#N)C(=O)O,2.4
132,CC(C#N)CC([N+](=O)[O-])[N+](=O)[O-],3.27
133,N#CCCCC([N+](=O)[O-])[N+](=O)[O-],4.34
134,O/N=C1/CCC/C1=N/O,10.1
135,CONC1NC(=O)Nc2nn[nH]c21,1.45
136,CC=CCC([N+](=O)[O-])[N+](=O)[O-],5.26
137,O=C(O)CCSCC(=O)O,3.64
138,O=C(O)CSCSCC(=O)O,3.37
139,CC(=O)OCCC([N+](=O)[O-])[N+](=O)[O-],4.19
140,COC(=O)CCC([N+](=O)[O-])[N+](=O)[O-],4.43
141,CC(=O)C(O)CC([N+](=O)[O-])[N+](=O)[O-],3.98
142,CCC(CC([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.47
143,CC(CCC([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3.72
144,COCC(CC([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.45
145,O=C(O)[C@@H]1CCCN1,1.8
146,CN(CC(=O)O)CC(=O)O,2.146
147,N[C@@H](CCC(=O)O)C(=O)O,2.06
148,CC(=O)NCCC([N+](=O)[O-])[N+](=O)[O-],4.28
149,CC(CC([N+](=O)[O-])[N+](=O)[O-])C(N)=O,5.24
150,NC(=O)CCCC([N+](=O)[O-])[N+](=O)[O-],4.75
151,CC(CCC([N+](=O)[O-])[N+](=O)[O-])=NO,4.46
152,CCC(CC([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.96
153,CC(C)CC([N+](=O)[O-])[N+](=O)[O-],5.4
154,CCCCC([N+](=O)[O-])[N+](=O)[O-],5.45
155,CC(C)[C@H](N)C(=O)O,2.24
156,CCN(CC)C(=S)S,6
157,O=C1N=C(O)C(Cl)=CC1(Cl)Cl,6.53
158,O=C1N=C(O)C(Br)=CC1(Br)Br,6.78
159,Cn1nnc2[nH]c(=S)[nH]c(=O)c21,6.73
160,CSc1cc(=O)nc[nH]1,8.52
161,O=[N+]([O-])C(CCCC(Cl)(Cl)Cl)[N+](=O)[O-],4.79
162,O=C(O)CN(CC(=O)O)CP(=O)(O)O,2
163,CSCC[C@H](N)C(=O)O,2.17
164,O=P(O)(O)CN(CCO)CCO,4.98
